species,n_clust,vol,mean_chroma,L_range
Scarus_tricolor,5,287.547303823194,20.373867062903283,78.72738366548624
Calotomus_viridescens,5,249.73721493391275,16.475675755519195,53.101337462640814
Scarus_rivulatus,5,244.5547303857829,17.06918881359908,70.73154139325995
Scarus_globiceps,5,231.89585064800804,22.78461303588349,46.81055834349604
Scarus_fuscopurpureus,5,226.16088780289812,8.048097175150232,67.35005055848411
Scarus_ghobban,5,191.96040441611137,25.39032705408769,77.578339044194
Scarus_altipinnis,5,184.2649219966215,10.788897861994739,86.82227197352204
Sparisoma_axillare,5,182.2095977387584,11.030702332451073,55.994141128684
Chlorurus_rhakoura,5,167.13633322086437,15.801540453589434,67.32878715043267
Scarus_russelii,5,148.16506744179696,9.134104947484577,68.5682874847135
Scarus_quoyi,5,138.4475074798519,7.104963138192482,67.7948492803634
Scarus_schlegeli,5,128.33463279032117,9.582477986627504,66.59024558851662
Sparisoma_radians,4,117.51175260752258,8.8690397554816,63.398874331512665
Calotomus_spinidens,5,83.4003503325733,23.222469680885418,78.265107804279765
Leptoscarus_vaigiensis,4,79.98023058703085,12.16483290861762,67.11396998017476
Calotomus_carolinus,5,78.05609456039403,15.255695787718816,75.50217025112929
Scarus_viridifucatus,5,75.93079366174433,10.990573157815057,62.58797054092996
Scarus_perrico,5,70.51509236386468,14.420525752188059,52.00383120403812
Scarus_forsteni,5,57.5307142516059,18.051455871265347,77.54358827167819
Scarus_frenatus,5,46.529717425558786,20.985022481420977,60.755734005662106
Scarus_flavipectoralis,4,24.128934613770987,17.240172872651655,34.68189131369427
Bolbometopon_muricatum,4,11.464627651983323,11.349028193115231,68.91994186821954
